Timestamp,Cases,Deaths,Recovered

2020-03-29 02:30:03.510043~668,351~31,027~142,785
2020-03-29 02:40:03.328136~668,351~31,027~142,853
2020-03-29 02:50:03.115146~668,363~31,045~142,853
2020-03-29 03:00:02.964273~668,705~31,065~143,107
2020-03-29 03:10:02.783235~669,124~31,068~143,128
2020-03-29 03:20:03.593346~672,086~31,191~143,870
2020-03-29 03:30:03.456956~677,648~31,737~146,294
2020-03-29 03:40:02.610638~677,660~31,737~146,303
2020-03-29 03:50:04.350587~677,683~31,737~146,310
2020-03-29 04:00:03.192445~677,705~31,737~146,319
2020-03-29 04:10:03.889923~677,938~31,746~146,319
2020-03-29 04:20:03.879135~678,089~31,748~146,319
2020-03-29 04:30:03.686580~678,905~31,767~146,319
2020-03-29 04:40:04.356377~678,905~31,771~146,319
2020-03-29 04:50:03.197383~678,910~31,771~146,319
2020-03-29 05:00:03.056577~678,969~31,771~146,345
2020-03-29 05:10:05.598273~679,079~31,772~146,352
2020-03-29 05:20:04.383239~680,200~31,907~146,352
2020-03-29 05:30:03.134398~680,461~31,912~146,366
2020-03-29 05:40:02.962387~680,583~31,914~146,366
2020-03-29 05:50:02.788147~680,696~31,920~146,396
2020-03-29 06:00:03.592586~680,696~31,920~146,396
2020-03-29 06:10:03.427184~683,502~32,137~146,396
2020-03-29 06:20:03.299940~683,504~32,139~146,396
2020-03-29 06:30:03.762980~683,536~32,139~146,396
2020-03-29 06:40:03.595610~683,583~32,144~146,396
2020-03-29 06:50:03.113247~683,641~32,144~146,396
2020-03-29 07:00:02.903034~683,694~32,155~146,396
2020-03-29 07:10:03.701801~683,694~32,155~146,396
2020-03-29 07:20:03.551202~683,694~32,155~146,396
2020-03-29 07:30:03.401678~683,694~32,155~146,396
2020-03-29 07:40:03.010163~683,835~32,169~146,397
2020-03-29 07:50:02.816037~683,932~32,162~146,400
2020-03-29 08:00:03.445390~684,384~32,180~146,400
2020-03-29 08:10:03.280124~684,676~32,180~146,400
2020-03-29 08:20:02.949778~685,055~32,182~146,400
2020-03-29 08:30:02.644447~685,159~32,183~146,400
2020-03-29 08:40:03.504763~685,492~32,157~146,400
2020-03-29 08:50:03.362762~686,032~32,239~146,400
2020-03-29 09:00:02.991005~686,199~32,277~146,402
